year,field_of_study,major,students
2000,Agriculture,Agriculture,5373
2000,Agriculture,Natural Resources and Conservation,1827
2000,Business and Management,Business and Management,105214
2000,Communications and Journalism,"Communication, Journalism",9958
2000,Communications and Journalism,Communications Technologies/Technicians,2261
2000,Education,Education,14053
2000,Engineering,Construction Trades,371
2000,Engineering,Engineering,75815
2000,Engineering,Engineering Technologies/Technicians,5630
2000,Engineering,Mechanic and Repair Technologies/Technicians,497
2000,Engineering,Military Technologies,210
2000,Engineering,Precision Production,199
2000,Engineering,Transportation and Materials Moving,674
2000,Fine and Applied Arts,Architecture,6602
2000,Fine and Applied Arts,Visual and Performing Arts,27618
2000,Health Professions,Health Professions,22430
2000,Health Professions,Residency Programs,0
2000,Humanities,English Language and Literature/Letters,5735
2000,Humanities,"Foreign Languages, Literatures and Linguistics",4889
2000,Humanities,Philosophy and Religious Studies,1785
2000,Humanities,Theology and Religious Vocations,3714
2000,Intensive English,Intensive English,23011
2000,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",697
2000,Legal Studies and Law Enforcement,Legal Professions and Studies,5759
2000,Math and Computer Science,Computer and Information Sciences,59836
2000,Math and Computer Science,Mathematics and Statistics,7989
2000,Other Fields of Study,Basic Skills,0
2000,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2886
2000,Other Fields of Study,Liberal Arts and Sciences/General Studies,28957
2000,Other Fields of Study,Library Science,816
2000,Other Fields of Study,Multi/Interdisciplinary Studies,6388
2000,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2730
2000,Other Fields of Study,Personal and Culinary Services,829
2000,Other Fields of Study,Reserve Officer Training Corps,0
2000,Physical and Life Sciences,Biological and Biomedical Sciences,20119
2000,Physical and Life Sciences,Physical Sciences,16975
2000,Physical and Life Sciences,Science Technologies/Technicians,1302
2000,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2402
2000,Social Sciences,History,0
2000,Social Sciences,Psychology,7855
2000,Social Sciences,Public Administration and Social Service Professions,4626
2000,Social Sciences,Social Sciences,24057
2000,Undeclared,Undeclared,35779
2001,Agriculture,Agriculture,5916
2001,Agriculture,Natural Resources and Conservation,2034
2001,Business and Management,Business and Management,113495
2001,Communications and Journalism,"Communication, Journalism",10560
2001,Communications and Journalism,Communications Technologies/Technicians,2035
2001,Education,Education,15709
2001,Engineering,Construction Trades,437
2001,Engineering,Engineering,79833
2001,Engineering,Engineering Technologies/Technicians,5655
2001,Engineering,Mechanic and Repair Technologies/Technicians,660
2001,Engineering,Military Technologies,77
2001,Engineering,Precision Production,168
2001,Engineering,Transportation and Materials Moving,1428
2001,Fine and Applied Arts,Architecture,6694
2001,Fine and Applied Arts,Visual and Performing Arts,27284
2001,Health Professions,Health Professions,24037
2001,Health Professions,Residency Programs,0
2001,Humanities,English Language and Literature/Letters,5795
2001,Humanities,"Foreign Languages, Literatures and Linguistics",6097
2001,Humanities,Philosophy and Religious Studies,2630
2001,Humanities,Theology and Religious Vocations,3845
2001,Intensive English,Intensive English,21237
2001,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",749
2001,Legal Studies and Law Enforcement,Legal Professions and Studies,6552
2001,Math and Computer Science,Computer and Information Sciences,67850
2001,Math and Computer Science,Mathematics and Statistics,8886
2001,Other Fields of Study,Basic Skills,0
2001,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2968
2001,Other Fields of Study,Liberal Arts and Sciences/General Studies,29950
2001,Other Fields of Study,Library Science,803
2001,Other Fields of Study,Multi/Interdisciplinary Studies,6840
2001,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2677
2001,Other Fields of Study,Personal and Culinary Services,1390
2001,Other Fields of Study,Reserve Officer Training Corps,0
2001,Physical and Life Sciences,Biological and Biomedical Sciences,20672
2001,Physical and Life Sciences,Physical Sciences,19433
2001,Physical and Life Sciences,Science Technologies/Technicians,1312
2001,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2420
2001,Social Sciences,History,0
2001,Social Sciences,Psychology,7729
2001,Social Sciences,Public Administration and Social Service Professions,4884
2001,Social Sciences,Social Sciences,26208
2001,Undeclared,Undeclared,36048
2002,Agriculture,Agriculture,4790
2002,Agriculture,Natural Resources and Conservation,1973
2002,Business and Management,Business and Management,113990
2002,Communications and Journalism,"Communication, Journalism",10249
2002,Communications and Journalism,Communications Technologies/Technicians,2477
2002,Education,Education,16004
2002,Engineering,Construction Trades,306
2002,Engineering,Engineering,88809
2002,Engineering,Engineering Technologies/Technicians,5781
2002,Engineering,Mechanic and Repair Technologies/Technicians,426
2002,Engineering,Military Technologies,29
2002,Engineering,Precision Production,140
2002,Engineering,Transportation and Materials Moving,1083
2002,Fine and Applied Arts,Architecture,6712
2002,Fine and Applied Arts,Visual and Performing Arts,24306
2002,Health Professions,Health Professions,28120
2002,Health Professions,Residency Programs,0
2002,Humanities,English Language and Literature/Letters,5912
2002,Humanities,"Foreign Languages, Literatures and Linguistics",6845
2002,Humanities,Philosophy and Religious Studies,1990
2002,Humanities,Theology and Religious Vocations,4406
2002,Intensive English,Intensive English,17620
2002,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",723
2002,Legal Studies and Law Enforcement,Legal Professions and Studies,6411
2002,Math and Computer Science,Computer and Information Sciences,61857
2002,Math and Computer Science,Mathematics and Statistics,10069
2002,Other Fields of Study,Basic Skills,0
2002,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3376
2002,Other Fields of Study,Liberal Arts and Sciences/General Studies,29972
2002,Other Fields of Study,Library Science,901
2002,Other Fields of Study,Multi/Interdisciplinary Studies,5058
2002,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2840
2002,Other Fields of Study,Personal and Culinary Services,787
2002,Other Fields of Study,Reserve Officer Training Corps,0
2002,Physical and Life Sciences,Biological and Biomedical Sciences,22960
2002,Physical and Life Sciences,Physical Sciences,19484
2002,Physical and Life Sciences,Science Technologies/Technicians,1105
2002,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2304
2002,Social Sciences,History,0
2002,Social Sciences,Psychology,8522
2002,Social Sciences,Public Administration and Social Service Professions,4814
2002,Social Sciences,Social Sciences,26775
2002,Undeclared,Undeclared,36395
2003,Agriculture,Agriculture,5406
2003,Agriculture,Natural Resources and Conservation,1886
2003,Business and Management,Business and Management,107909
2003,Communications and Journalism,"Communication, Journalism",9104
2003,Communications and Journalism,Communications Technologies/Technicians,2335
2003,Education,Education,15909
2003,Engineering,Construction Trades,184
2003,Engineering,Engineering,87528
2003,Engineering,Engineering Technologies/Technicians,5920
